,ID,BIRTH_YEAR,LATINO_DUM,RACE,RACE_TEXT,SEX,SEX_ORIENT,LI1_POINTLESS,LI2_PARENTSSAIDSO,LI3_FORCEDBYPARENTS,LI4_FORCEDBYTEACHERS,LI5_NOSCHOOL,LI6_PROMISEDGIFTS,LI7_AVOIDSCOLDING,PEI1_LOOKBETTER,PEI2_GETBETTERGRADE,PEI3_LOOKHARDWORKER,PEI4_PERFORMBETTER,PEI5_NOTLOOKINCOMPETENT,PEI6_PROVESMART,PEI7_NOTFEELFAILURE,PGI1_NOTLEARNWELL_,PGI2_MISTAKE,PGI3_NOTFINISHHW,IDI1_VALUELEARNING,IDI2_IMPFORGOALS,IDI3_IMPSTUDYCONSISTENTLY,IDI4_TOREACHFOALS,INI1_KNOWPURPOSE,INI2_UNDERSTANDMYSELF,INI3_DEFINEINTERESTS,INI4_OVERCOMECHALLENGES,INI5_GETCONFIDENCE,INI6_FINDPURPOSE,INI7_TOHELPOTHERS,INI8_FINDWORLD,INI9_FINDCAREERS,INI10_GETDESIRETOLEARN,INI11_WANNALEARN,CHECK1,EAA1,EAA2,EAA3,EAA4,EAA5,EAA6,EAA7,EAA8,EAA9,EAA10,EAA11,EAA12,EAA13,CS1,CS2,CS3,CS4,CS5,CS6,CS7,CS8,CS9,CHECK2,PER1,PER2,PER3,PER4,PER5,MA1,MA2,MA3,MA4,MA5,MA6,MA7,MA8,MA9,CHECK3,SA1,SA2,SA3,SA4,SA5,SA6,SA7,SA8,SA9,SA10,TA1,TA2,TA3,TA4,TA5,TA6,TA7,TA8,TA9,TA10,CHOICE,TYPE_OF_TASK,ATITUDE_TOWARDS_MATH,GOOD_AT_MATH,JOY_MIN,JOY_MAX,JOY_MEAN,JOY_FRE,ANX_MIN,ANX_MAX,ANX_MEAN,ANX_FRE,JOY_PERCENTAGE,ANXIETY_PERCENTAGE,N_H,N_M,N_L,N_WRONG,AVGSCORE,TOTALSCORE,STATE,ATITUDE_TOWARDS_LITERACY,GOOD_AT_LITERACY,SUMSCORE,RT,TIME_SELF_RELIENCE,TIME_HELP_SEEKING,TIME_LOW_PERSIS,VEC_VARIABLES
15,4603,1999,N_latino,White,NA,Female,straight,Vdisagree,soso,disagree,disagree,disagree,Vdisagree,agree,agree,agree,Vagree,Vagree,agree,disagree,agree,disagree,agree,Vagree,Vagree,Vagree,disagree,agree,agree,agree,agree,agree,agree,disagree,soso,disagree,Vagree,soso,disagree,pass,Vagree,Vdisagree,disagree,disagree,disagree,agree,agree,disagree,Vdisagree,disagree,disagree,disagree,disagree,Vagree,disagree,soso,disagree,agree,agree,disagree,Vagree,agree,pass,Vagree,agree,agree,disagree,agree,lowA,moderateA,lowA,moderateA,abitA,lowA,lowA,abitA,someA,pass,somewhat,notatall,somewhat,notatall,notatall,somewhat,somewhat,somewhat,somewhat,somewhat,often,sometimes,sometimes,never,often,often,sometimes,sometimes,often,sometimes,N_Choice,0,1,1,26,99,62,2,90,99,95,36,0.55,9.84,2,1,1,4,1.25,5,on site,3,3,21,36.16,57,64,121,NA
16,4405,2000,N_latino,White,NA,Female,straight,Vdisagree,disagree,Vdisagree,Vdisagree,disagree,disagree,Vdisagree,disagree,agree,disagree,agree,Vdisagree,agree,Vagree,agree,Vagree,Vagree,Vagree,Vagree,Vagree,Vagree,agree,agree,Vagree,agree,Vagree,agree,Vagree,agree,Vagree,agree,agree,pass,Vagree,soso,Vdisagree,Vagree,soso,Vagree,disagree,agree,disagree,disagree,disagree,Vdisagree,disagree,agree,agree,disagree,Vdisagree,Vagree,soso,Vdisagree,Vagree,agree,pass,Vagree,Vagree,agree,agree,Vagree,someA,highA,someA,highA,moderateA,someA,someA,moderateA,abitA,pass,somewhat,verymuch,somewhat,verymuch,verymuch,verymuch,verymuch,somewhat,verymuch,somewhat,always,sometimes,often,never,always,often,sometimes,sometimes,sometimes,often,N_Choice,0,1,1,21,99,92,103,22,99,76,86,16.17,13.5,3,5,1,9,1.222222222,11,on site,3,3,16,52.8,209,292,100,NA
17,4324,1999,N_latino,White,NA,Female,straight,Vdisagree,disagree,disagree,disagree,Vdisagree,Vdisagree,soso,soso,soso,soso,disagree,disagree,agree,Vagree,agree,disagree,Vagree,agree,Vagree,Vagree,Vagree,soso,Vagree,Vagree,Vagree,agree,Vagree,Vagree,agree,Vagree,agree,Vagree,pass,Vagree,Vdisagree,disagree,agree,Vdisagree,agree,disagree,Vagree,Vdisagree,disagree,disagree,disagree,soso,Vagree,disagree,Vdisagree,soso,Vagree,disagree,Vdisagree,Vagree,Vdisagree,pass,Vagree,agree,soso,Vagree,agree,lowA,someA,lowA,someA,someA,lowA,lowA,someA,lowA,pass,moderately,somewhat,somewhat,somewhat,notatall,notatall,moderately,somewhat,notatall,moderately,never,sometimes,never,sometimes,never,often,often,often,often,sometimes,N_Choice,1,1,1,0,0,0,0,52,98,68,11,0,26.19,6,3,0,9,1.666666667,15,on site,3,3,16,24.28,150,168,0,NA
18,4264,1999,N_latino,Black,NA,Female,straight,Vdisagree,disagree,disagree,Vdisagree,disagree,disagree,soso,Vdisagree,disagree,Vdisagree,disagree,agree,Vdisagree,Vagree,Vagree,agree,Vagree,agree,Vagree,agree,Vagree,Vagree,Vagree,Vagree,Vagree,Vagree,soso,Vagree,Vagree,Vagree,agree,agree,pass,Vagree,Vdisagree,Vdisagree,agree,disagree,agree,agree,agree,disagree,disagree,Vdisagree,Vdisagree,Vdisagree,Vagree,soso,disagree,agree,Vagree,soso,soso,agree,soso,pass,Vagree,Vagree,Vagree,agree,Vagree,lowA,highA,lowA,highA,moderateA,lowA,lowA,highA,someA,pass,somewhat,moderately,somewhat,somewhat,notatall,somewhat,somewhat,somewhat,notatall,somewhat,sometimes,sometimes,never,sometimes,sometimes,sometimes,sometimes,never,often,sometimes,N_Choice,0,0,1,23,95,54,10,21,98,55,91,0.43,3.94,0,9,1,10,0.9,9,on site,1,1,15,49.28,0,580,88,NA
19,4681,1999,N_latino,White,NA,Female,straight,Vdisagree,disagree,Vagree,disagree,Vdisagree,Vdisagree,disagree,agree,agree,agree,agree,agree,agree,agree,soso,agree,agree,agree,Vagree,soso,Vagree,agree,agree,agree,soso,Vagree,disagree,soso,soso,Vagree,soso,agree,pass,Vagree,Vdisagree,disagree,disagree,disagree,agree,agree,soso,disagree,Vdisagree,disagree,disagree,soso,Vagree,soso,soso,agree,agree,soso,disagree,Vagree,disagree,pass,agree,agree,disagree,disagree,agree,lowA,someA,lowA,someA,someA,lowA,lowA,lowA,lowA,pass,moderately,somewhat,moderately,somewhat,notatall,notatall,notatall,somewhat,somewhat,moderately,never,often,sometimes,never,never,sometimes,always,never,often,never,N_Choice,0,1,1,0,0,0,0,22,99,78,41,0,13.95,2,1,2,5,1,5,on site,1,1,20,37.96,82,69,107,NA
20,4525,2000,N_latino,White,NA,Female,straight,disagree,disagree,Vdisagree,Vdisagree,Vdisagree,disagree,Vdisagree,Vagree,Vagree,Vagree,Vagree,Vagree,Vagree,Vagree,disagree,Vagree,Vagree,agree,Vagree,disagree,Vagree,agree,agree,Vagree,agree,Vagree,agree,Vagree,agree,Vagree,agree,agree,pass,Vagree,Vdisagree,Vdisagree,Vdisagree,disagree,agree,agree,agree,disagree,Vdisagree,disagree,disagree,Vdisagree,Vagree,Vagree,Vagree,agree,agree,Vagree,Vagree,Vagree,Vdisagree,pass,Vagree,Vagree,agree,disagree,agree,lowA,abitA,lowA,abitA,someA,lowA,lowA,abitA,lowA,pass,verymuch,verymuch,moderately,verymuch,somewhat,somewhat,notatall,somewhat,notatall,moderately,always,often,sometimes,sometimes,often,sometimes,often,often,never,often,N_Choice,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,18.13,6,0,3,9,1.333333333,12,on site,1,1,16,44.76,318,0,289,NA
21,4477,1999,N_latino,White,NA,Female,straight,Vdisagree,agree,Vdisagree,Vdisagree,Vdisagree,Vdisagree,agree,disagree,agree,agree,Vagree,agree,soso,Vagree,Vagree,agree,Vagree,Vagree,Vagree,Vagree,Vagree,Vagree,Vagree,Vagree,agree,Vagree,Vagree,Vagree,Vagree,Vagree,agree,Vagree,pass,Vagree,Vdisagree,disagree,Vagree,disagree,agree,disagree,agree,disagree,Vdisagree,Vdisagree,Vdisagree,Vdisagree,agree,agree,soso,disagree,Vagree,soso,Vdisagree,agree,agree,pass,Vagree,Vagree,agree,Vdisagree,Vagree,lowA,abitA,lowA,moderateA,abitA,lowA,moderateA,abitA,someA,pass,moderately,notatall,verymuch,somewhat,notatall,notatall,notatall,moderately,notatall,verymuch,often,often,never,never,often,always,always,never,often,never,Y_Choice,0,0,0,33,99,90,75,22,99,78,58,23.89,18.46,5,4,0,9,1.555555556,14,on site,1,1,16,28.44,176,289,0,NA
22,4510,2001,N_latino,White,NA,Female,straight,Vdisagree,disagree,Vdisagree,disagree,disagree,disagree,disagree,agree,agree,agree,agree,agree,agree,Vagree,agree,agree,Vagree,Vagree,Vagree,Vagree,Vagree,Vagree,agree,agree,agree,Vagree,agree,Vagree,agree,agree,Vagree,Vagree,pass,Vagree,disagree,disagree,agree,disagree,disagree,agree,agree,disagree,disagree,disagree,disagree,disagree,disagree,agree,agree,disagree,agree,agree,disagree,agree,disagree,pass,agree,agree,agree,soso,agree,lowA,moderateA,someA,moderateA,moderateA,lowA,someA,abitA,lowA,pass,moderately,somewhat,moderately,moderately,notatall,somewhat,somewhat,moderately,moderately,moderately,sometimes,sometimes,never,never,sometimes,often,often,sometimes,always,sometimes,Y_Choice,1,1,1,25,99,81,27,90,99,95,61,6.4,14.45,3,2,0,5,1.6,8,on site,0,0,20,40.8,199,195,0,NA
23,4624,1998,N_latino,White,NA,Female,straight,Vdisagree,disagree,disagree,Vdisagree,Vdisagree,Vagree,soso,disagree,Vdisagree,agree,disagree,Vdisagree,soso,agree,agree,agree,Vagree,Vagree,Vagree,Vagree,Vagree,Vagree,agree,Vagree,agree,Vagree,soso,Vagree,soso,Vagree,soso,agree,pass,Vagree,Vdisagree,Vdisagree,disagree,Vdisagree,Vagree,agree,soso,soso,Vdisagree,disagree,disagree,disagree,agree,soso,soso,agree,Vagree,soso,agree,agree,Vagree,pass,soso,soso,agree,soso,soso,lowA,abitA,lowA,moderateA,abitA,lowA,someA,moderateA,lowA,pass,verymuch,somewhat,verymuch,notatall,notatall,somewhat,notatall,moderately,somewhat,moderately,sometimes,often,sometimes,sometimes,sometimes,sometimes,always,never,often,sometimes,Y_Choice,0,0,0,0,0,0,0,49,85,66,8,0,36.36,11,2,0,13,1.846153846,24,on site,1,1,12,44.2,471,274,0,NA
24,4750,1999,N_latino,White,NA,Female,straight,Vdisagree,Vagree,disagree,Vdisagree,Vdisagree,Vdisagree,Vagree,soso,soso,soso,soso,Vagree,Vagree,agree,agree,disagree,agree,agree,Vagree,Vagree,Vagree,agree,soso,agree,Vagree,agree,agree,Vagree,soso,Vagree,agree,agree,pass,Vagree,Vdisagree,agree,agree,Vdisagree,Vagree,soso,soso,disagree,disagree,Vdisagree,Vdisagree,disagree,Vagree,soso,soso,disagree,Vagree,soso,soso,agree,Vdisagree,pass,agree,agree,Vagree,disagree,agree,lowA,highA,lowA,highA,moderateA,lowA,lowA,highA,someA,pass,somewhat,notatall,somewhat,notatall,notatall,somewhat,notatall,somewhat,notatall,moderately,sometimes,sometimes,never,sometimes,always,sometimes,sometimes,sometimes,sometimes,always,Y_Choice,1,0,0,23,99,88,13,77,99,90,3,25.49,5.88,7,0,8,15,0.933333333,14,on site,1,1,10,30.4,193,0,352,NA
